sequence,condition,degradation,severity,seed,auc_change,first_divergence_frame,first_rgssb_specific_divergence_frame,first_shared_failure_frame,first_center_jump_frame,first_scale_change_frame,baseline_iou_at_divergence,rgssb_iou_at_divergence,center_jump,area_ratio,initial_failure_mode,subsequent_failure_mode,terminal_failure_mode,event_sequence,baseline_recovered_after_shared_failure,rgssb_recovered_after_shared_failure,persistent_rgssb_loss_after_shared_failure,consecutive_failed_frames,recovery_status,failure_classification,output_dir,source
nfs_bowling_1,low_resolution medium,low_resolution,medium,42,-0.598078,89,89,80,,,0.742829,0.000000,,,shared tracker failure,RG-SSB-specific divergence,persistent RG-SSB-specific target loss,shared tracker failure -> baseline recovery -> persistent RG-SSB target loss,True,False,True,5,no_recovery_detected,persistent RG-SSB-specific target loss,outputs/failure_inspection_corrected_nfs_v2/nfs_bowling_1/low_resolution_medium_seed42,diagnostics_csv
nfs_Gymnastics,low_resolution medium,low_resolution,medium,42,-0.195760,131,131,119,,,0.812708,0.134608,,,shared tracker failure,RG-SSB-specific divergence,persistent RG-SSB-specific target loss,shared tracker failure -> baseline recovery -> persistent RG-SSB target loss,True,False,True,5,no_recovery_detected,persistent RG-SSB-specific target loss,outputs/failure_inspection_corrected_nfs_v2/nfs_Gymnastics/low_resolution_medium_seed42,diagnostics_csv
nfs_Gymnastics,gaussian_noise medium,gaussian_noise,medium,42,-0.167402,288,288,120,,129,0.852713,0.000000,,2.221043,shared tracker failure,scale collapse or expansion,persistent RG-SSB-specific target loss,shared tracker failure -> baseline recovery -> persistent RG-SSB target loss,True,True,True,5,no_recovery_detected,persistent RG-SSB-specific target loss,outputs/failure_inspection_corrected_nfs_v2/nfs_Gymnastics/gaussian_noise_medium_seed42,diagnostics_csv
nfs_basketball_player_2,gaussian_noise medium,gaussian_noise,medium,42,-0.125835,376,376,197,376,256,0.919165,0.000000,165.539270,0.473758,shared tracker failure,scale collapse or expansion,persistent RG-SSB-specific target loss,shared tracker failure -> baseline recovery -> persistent RG-SSB target loss,True,True,True,5,no_recovery_detected,persistent RG-SSB-specific target loss,outputs/failure_inspection_corrected_nfs_v2/nfs_basketball_player_2/gaussian_noise_medium_seed42,diagnostics_csv
nfs_parkour,low_resolution medium,low_resolution,medium,42,-0.114885,45,45,,9,8,0.808454,0.000000,118.613869,2.189953,scale collapse or expansion,sudden center jump,persistent RG-SSB-specific target loss,scale collapse or expansion -> sudden center jump,False,False,False,5,no_recovery_detected,persistent RG-SSB-specific target loss,outputs/failure_inspection_corrected_nfs_v2/nfs_parkour/low_resolution_medium_seed42,diagnostics_csv
nfs_motorcross,low_resolution medium,low_resolution,medium,42,-0.074385,,,,9,34,,,132.440553,0.477113,sudden center jump,scale collapse or expansion,sudden center jump,sudden center jump -> scale collapse or expansion,False,False,False,0,no_recovery_detected,sudden center jump,outputs/failure_inspection_corrected_nfs_v2/nfs_motorcross/low_resolution_medium_seed42,diagnostics_csv
nfs_running,motion_blur medium,motion_blur,medium,42,-0.063764,,,655,,,,,,,shared tracker failure,,shared tracker failure,shared tracker failure,False,False,False,5,no_recovery_detected,shared tracker failure,outputs/failure_inspection_corrected_nfs_v2/nfs_running/motion_blur_medium_seed42,diagnostics_csv
nfs_person_scooter,motion_blur medium,motion_blur,medium,42,-0.054083,,,,,,,,,,ambiguous,ambiguous,ambiguous,ambiguous,False,False,False,0,no_recovery_detected,ambiguous,outputs/failure_inspection_corrected_nfs_v2/nfs_person_scooter/motion_blur_medium_seed42,diagnostics_csv
nfs_footbal_skill,low_resolution medium,low_resolution,medium,42,-0.052981,,,88,36,82,,,103.597780,0.462963,sudden center jump,scale collapse or expansion,sudden center jump,sudden center jump -> scale collapse or expansion,False,False,False,5,no_recovery_detected,sudden center jump,outputs/failure_inspection_corrected_nfs_v2/nfs_footbal_skill/low_resolution_medium_seed42,diagnostics_csv
nfs_car_rc_rolling,clean none,clean,none,0,-0.040243,,,40,36,,,,101.833197,,sudden center jump,shared tracker failure,sudden center jump,sudden center jump -> shared tracker failure,False,False,False,5,no_recovery_detected,sudden center jump,outputs/failure_inspection_corrected_nfs_v2/nfs_car_rc_rolling/clean_none_seed0,diagnostics_csv
