paper_id,title,task,modality,mamba_category,what_mamba_replaces,what_mamba_models,spatial_temporal_or_multimodal,problem_solved_by_mamba,problem_not_solved_by_mamba,restoration_related_yes_no_partial,degradation_related_yes_no_partial,tracking_specific_yes_no_partial,evidence_pages,notes_for_gap_analysis
2024_ACM_MambaTrack_MOT,MambaTrack: A Simple Baseline for Multiple Object Tracking with State Space Model,"Online multi-object tracking (MOT), tracking-by-detection",RGB video detections and bounding-box trajectories; the tracker uses detector outputs rather than RGB template-search matching,Mamba for temporal memory; Mamba for motion prediction; Mamba for low-light or adverse-condition tracking,not reported,"Historical bounding-box trajectories, motion tokens, missing observations, and future object movement.",temporal,Motion prediction and tracklet recovery in online MOT using historical trajectory information.,"Image restoration, RGB template-search degradation recovery, and response-map fusion are not reported.",No,Partial,Yes,"pp. 1, 2, 3, 4, 5, 6, 7, 8","Mamba is used for trajectory/motion modeling in MOT, not for restoring degraded visual target/search features."
2024_arXiv_Mamba_FETrack,Mamba-FETrack: Frame-Event Tracking via State Space Model,RGB-Event single-object visual tracking,RGB frames plus event stream converted into event images,Mamba for multimodal fusion; Mamba as an efficient backbone; Mamba for low-light or adverse-condition tracking,not reported,"RGB-frame and event-image features, cross-modal interaction, and template-search features.",spatial; multimodal,Efficient RGB-event feature extraction and modality fusion for frame-event tracking.,"RGB-only restoration, image-level enhancement, and degradation-aware template update are not reported.",No,Partial,Yes,"pp. 1, 2, 3, 6, 7, 8, 9, 10, 11, 12, 13, 15","Robustness is sensor/fusion driven through RGB-event data, not restoration-oriented RGB recovery."
2024_ECCV_MambaIR,MambaIR: A Simple Baseline for Image Restoration with State-Space Model,"Image restoration, including super-resolution, image denoising, real-world denoising, and JPEG compression artifact reduction.",Single-image restoration from low-quality image input to high-quality image output; not video tracking.,Mamba for image restoration; Mamba as an efficient backbone,not reported,"Image restoration features and 2D scanned image-token sequences for degradations such as denoising, super-resolution, and JPEG artifact reduction.",spatial,Single-image restoration under multiple image degradation tasks.,"Tracking, template-search matching, temporal memory, and dynamic template update are not reported.",Yes,Yes,No,"pp. 1, 3, 6, 7, 8, 9, 13, 14","This is restoration-oriented Mamba evidence, but it is not a tracking paper."
2025_AAAI_MambaLCT,MambaLCT: Boosting Tracking via Long-term Context State Space Model,Visual object tracking with long-term video context.,"Visual template-search tracking from image/video frames. Use of language, thermal, event, or restoration modalities is not reported as an input to the method.",Mamba for temporal memory; Mamba for video-level context,not reported,"Historical search-frame features, target-related hidden states, and propagated long-term context.",temporal,Long-term video context construction for visual object tracking.,"Image degradation handling, restoration/enhancement, and degradation-aware memory update are not reported.",No,not reported,Yes,"pp. 1, 2, 3, 4, 5, 6, 7","Evidence for Mamba temporal context/memory in tracking, not for restoration-oriented degradation robustness."
2025_AAAI_MCITrack,Exploring Enhanced Contextual Information for Video-Level Object Tracking,Video-level visual object tracking with contextual-information transmission.,"Visual object tracking using video clips/search regions. Use of non-RGB modalities, natural-language input, thermal input, event input, or restoration input is not reported for the method.",Mamba for temporal memory; Mamba for video-level context,not reported,Historical contextual information in CIF hidden states and current-frame contextual features.,temporal,Video-level contextual information transmission for tracking.,"Image restoration, explicit degradation handling, and degradation-aware dynamic template update are not reported.",No,not reported,Yes,"pp. 1, 2, 3, 4, 5, 6, 7","Mamba stores and updates context, but the card does not support degradation/restoration claims."
2025_AAAI_MM_Tracker,MM-Tracker: Motion Mamba for UAV-platform Multiple Object Tracking,UAV-platform multi-object tracking (MOT),"RGB UAV video with detector features, motion maps, and MOT association; not RGB single-object template-search tracking",Mamba for motion prediction; Mamba for low-light or adverse-condition tracking; Mamba for degradation-aware feature learning,not reported,"Motion maps, bi-temporal detector features, scanned feature maps, and feature-level motion interactions.",spatial; temporal,Motion modeling and blurred-object detection/association for UAV-platform MOT.,"Visual feature restoration, RGB template-search degradation recovery, and image-level enhancement are not reported.",No,Partial,Yes,"pp. 1, 2, 3, 4, 5, 6, 7",Mamba targets motion blur through feature/motion modeling rather than restoration.
2025_AAAI_TemTrack,Robust Tracking via Mamba-based Context-aware Token Learning,Visual object tracking with temporal context learned from track tokens.,"RGB-style visual template-search tracking from image pairs/video frames. Use of thermal, event, language, or restoration modalities is not reported.",Mamba for temporal memory; Mamba for video-level context,not reported,"Historical track-token sequences, hidden states, current track tokens, and temporal context.",temporal,Robust temporal context learning from track tokens without image-selection template updates.,"Image degradation handling, restoration/enhancement, and degradation-aware template update are not reported.",No,not reported,Yes,"pp. 1, 2, 3, 4, 5, 6, 7","Mamba use is temporal token memory, not restoration or degradation recovery."
2025_ACM_MultiStateTracker,Multi-State Tracker: Enhancing Efficient Object Tracking via Multi-State Specialization and Interaction,Efficient single-object visual tracking,RGB visual tracking,Mamba as an efficient backbone; Mamba for low-light or adverse-condition tracking,not reported,"Multiple target feature states, state-specific enhanced representations, and cross-state interactions through HSA-SSD.",spatial,Efficient feature-state specialization and interaction for robust tracking in complex scenarios.,"Degradation-state modeling, image restoration, and degradation-aware template/search recovery are not reported.",Partial,Partial,Yes,"pp. 1, 2, 3, 4, 5, 6, 7, 8","Multi-state means target feature states, not degradation states."
2025_arXiv_HyMamba,Hyperspectral Mamba for Hyperspectral Object Tracking,Hyperspectral single-object tracking,Hyperspectral video plus false-color hyperspectral images,Mamba for temporal memory; Mamba for multimodal fusion; Mamba for dynamic template update; Mamba for low-light or adverse-condition tracking; Mamba for degradation-aware feature learning,not reported,"Spectral hidden states, cross-depth spectral information, inter-frame temporal spectral information, and forward/backward/spectral scans.",spatial; temporal; multimodal,Hyperspectral spectral-spatial-temporal modeling with dynamic template and hidden-state propagation.,RGB-only restoration and generic RGB degradation-robust template-search tracking are not reported.,Partial,Partial,Yes,"pp. 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11","Robustness comes from hyperspectral spectral modeling and feature enhancement, not RGB image restoration."
2025_CVPR_All_Day_MCMT,All-Day Multi-Camera Multi-Target Tracking,Multi-camera multi-target tracking,"RGBT, using visible RGB and infrared/thermal video",Mamba for multimodal fusion; Mamba for low-light or adverse-condition tracking,not reported,Visible RGB and infrared features guided by lighting-relevant information.,multimodal,Adaptive RGBT feature fusion for all-day low-light MCMT.,RGB-only template-search restoration and image-level low-light enhancement are not reported.,No,Partial,Yes,"pp. 1, 2, 3, 4, 5, 6, 7, 8","Low-light robustness is addressed through infrared/RGBT fusion, not RGB restoration."
