paper_id,title,year,venue,task,tracking_type,modality,main_motivation,main_problem,main_contributions,method_modules,mamba_usage,degradation_handling,degradation_types,restoration_or_enhancement,image_level_or_feature_level,temporal_memory,dynamic_template_update,response_map_fusion,datasets,metrics,explicit_limitations,implicit_limitations,evidence_pages,relevance_to_our_paper,novelty_threat_level
2024_ACM_MambaTrack_MOT,MambaTrack: A Simple Baseline for Multiple Object Tracking with State Space Model,2024,ACM Multimedia 2024,"Online multi-object tracking (MOT), tracking-by-detection",multi-object tracking,RGB video detections and bounding-box trajectories; the tracker uses detector outputs rather than RGB template-search matching,The paper is motivated by the limits of Kalman-filter-based MOT under nonlinear and diverse object motion in dancing and sports scenes.,"The paper addresses motion-based association for MOT when objects show complex motion, severe occlusion, and short-term missing observations.",A data-driven Mamba moTion Predictor (MTP) for modeling diverse object motion patterns. | A Tracklet Patching Module (TPM) that uses MTP autoregressively to re-establish lost tracklets. | An online motion-based MOT tracker evaluated on DanceTrack and SportsMOT.,"The main modules are YOLOX detection input, Mamba Motion Predictor, Bi-Mamba encoding layer, prediction head, IoU/Hungarian matching, and Tracklet Patching Module (p. 3, p. 4, p. 5, p. 6).","Mamba is used as a motion predictor over historical bounding-box trajectories. The paper says MTP takes historical motion information, uses a bi-Mamba encoding layer, and predicts the next movement (p. 2). The conclusion says MTP models temporal dynamics for association and autoregressive lost-tracklet recovery (p. 8).","Partial (evidence: pp. 1, 3, 4, 5, 6)",Motion blur and occlusion are discussed as causes of missed detections or interrupted tracklets; generic image-quality degradations are not reported.,not reported,Neither image restoration nor feature restoration; handling is trajectory/motion-level patching and association.,"Partial; MTP uses historical bounding-box trajectories and a maximum look-back temporal window, and TPM autoregressively fills missing observations (p. 2, p. 6).",not reported,"Not reported; association uses IoU cost matrices and Hungarian matching rather than template-search response maps (p. 3, p. 6).",DanceTrack and SportsMOT.,"HOTA, IDF1, AssA, MOTA, DetA; HOTA is treated as the primary balanced tracking metric.",not reported,"The method addresses MOT motion prediction and lost-tracklet association, not RGB single-object template-search degradation or restoration-guided feature recovery.","pp. 1, 2, 3, 4, 5, 6, 7, 8","Supports: It supports the missing-intersection analysis by showing a Mamba tracker that uses Mamba for MOT motion prediction and association, not restoration-oriented feature recovery under image degradation. | Threatens: It partially threatens any broad claim about Mamba handling blur in tracking, because it explicitly mentions motion blur and uses trajectory patching to reduce broken tracklets (p. 1, p. 5). | Remains unsolved: RGB template-search tracking under generic image-quality degradation with restoration-oriented Mamba blocks remains not reported; blur is handled through motion/association, not visual restoration.",medium
2024_arXiv_Mamba_FETrack,Mamba-FETrack: Frame-Event Tracking via State Space Model,2024,arXiv 2024,RGB-Event single-object visual tracking,single-object tracking,RGB frames plus event stream converted into event images,The paper is motivated by RGB-Event tracking under challenging scenarios and by reducing the high computation and memory cost of Transformer-based RGB-Event trackers.,The paper addresses efficient RGB-Event template-search tracking by replacing a heavy Transformer backbone with Mamba-based feature extraction and cross-modal fusion.,"A state-space-model-based RGB-Event tracking framework, Mamba-FETrack, targeting high performance with lower complexity. | A FusionMamba block for interactive feature learning between RGB and event modalities. | Experiments on FE108 and FELT validating effectiveness and efficiency.","RGB Mamba backbone, Event Mamba backbone, FusionMamba, an additional Transformer block after modal interaction, and OSTrack-style tracking head (p. 6, p. 8, p. 12).","Mamba is used as a lightweight feature backbone for each modality and as a fusion mechanism for RGB-event interactive learning (p. 3, p. 6, p. 8).","Partial (evidence: pp. 2, 6, 7, 8, 9)","Fast motion, low illumination, motion blur, and high dynamic range are discussed through the use of event-camera cues and benchmark attributes.",not reported,Feature-level multimodal fusion; no image restoration or enhancement module is reported.,"Partial; Mamba provides sequence modeling, but the paper does not report a dedicated temporal memory module for online tracking. (evidence: pp. 6, 7, 8)",not reported,"The tracking head outputs a target classification score map, local offset, and normalized bounding-box size (p. 8).",FE108 and FELT.,"SR, PR, NPR, and AUC/PR are reported across experiments and tables.","The authors state that they simply transform event streams into event images, which may fail to capture event-point dynamics well; they also state that effective event-data modeling with Mamba remains an ongoing challenge.","The robustness comes from extra event-sensor cues and multimodal feature fusion, not from RGB-only degradation robustness or restoration-oriented Mamba.","pp. 1, 2, 3, 6, 7, 8, 9, 10, 11, 12, 13, 15","Supports: It supports the missing-intersection analysis because it uses Mamba for efficient RGB-event feature extraction and fusion, not restoration-oriented RGB template-search recovery. | Threatens: It threatens broad claims that Mamba has not been used in template-search tracking or multimodal tracking, because it is explicitly an RGB-Event Mamba tracker with template/search inputs (p. 6). | Remains unsolved: RGB-only degraded template-search tracking with restoration-oriented Mamba blocks remains not reported; degradation robustness is tied to event-camera sensing and fusion.",medium
2024_ECCV_MambaIR,MambaIR: A Simple Baseline for Image Restoration with State-Space Model,2024,"ECCV, from PDF filename `2024_ECCV_MambaIR.pdf`","Image restoration, including super-resolution, image denoising, real-world denoising, and JPEG compression artifact reduction.",image restoration (not tracking),Single-image restoration from low-quality image input to high-quality image output; not video tracking.,"The paper is motivated by an image-restoration backbone tradeoff: CNNs are efficient but have limited global receptive fields, while Transformer-style global modeling is expensive. Mamba is investigated as a linear-complexity long-range model, but vanilla Mamba is not directly suited to low-level vision because of local pixel forgetting and channel redundancy.",The paper addresses how to adapt Mamba/state-space modeling to image restoration while preserving local pixel structure and reducing redundant channel representations.,Adapts state-space models to low-level image restoration as a simple Mamba-based restoration baseline. | Proposes the Residual State-Space Block (RSSB) with local enhancement and channel attention. | Evaluates the model across multiple restoration tasks and reports competitive restoration performance.,"Residual State-Space Groups (RSSGs), Residual State-Space Blocks (RSSBs), Vision State-Space Module (VSSM), 2D Selective Scan Module (2D-SSM), local convolution, channel attention, and reconstruction layers.","Mamba is used as an image-restoration state-space backbone through VSSM and 2D-SSM. The 2D-SSM scans image features in four directions, applies the discrete state-space equation to each sequence, then merges them back into 2D structure.","Yes, in image-restoration tasks; not in tracking. (evidence: pp. 1, 9, 13, 14)","Low-resolution images for SR, Gaussian color noise, real-world denoising degradation, and JPEG compression artifacts.","Yes (evidence: pp. 1, 9, 13, 14)",Both: feature-level restoration blocks are used to reconstruct image-level high-quality outputs.,"Not reported for tracking; Mamba is used for image-token sequence modeling, not target-memory tracking.",not reported,not reported,"DIV2K, Flickr2K, Set5, Set14, B100/BSDS100, Urban100, Manga109, BSD500, WED, BSD68, Kodak24, McMaster, SIDD, DND. JPEG CAR is mentioned, but main-paper dataset details are deferred to supplementary material in the extracted text.",PSNR and SSIM; parameter count and MACs are also used for lightweight SR comparison.,Not reported for the proposed MambaIR method in the extracted main-paper text. The authors do explicitly state limitations of standard/vanilla Mamba that motivate MambaIR: local pixel forgetting and channel redundancy.,"The paper does not evaluate restoration-oriented Mamba inside an RGB template-search tracker, so it does not establish whether MambaIR improves target-discriminative tracking under degraded search/template frames.","pp. 1, 3, 6, 7, 8, 9, 13, 14","Supports: It provides direct evidence that Mamba can be adapted for restoration-specific image recovery with local enhancement, channel attention, and 2D state-space scanning. | Threatens: It already covers restoration-oriented Mamba for several image degradation/restoration settings, so our novelty cannot be simply ""use Mamba for restoration"" or ""use Mamba for degraded images."" | Remains unsolved: It does not report RGB template-search tracking, target-discriminative feature recovery, degradation-robust matching, dynamic template update, or tracking response-map fusion under degradation.",high
2025_AAAI_MambaLCT,MambaLCT: Boosting Tracking via Long-term Context State Space Model,2025,"AAAI, from PDF filename `2025_AAAI_MambaLCT.pdf`",Visual object tracking with long-term video context.,visual object tracking,"Visual template-search tracking from image/video frames. Use of language, thermal, event, or restoration modalities is not reported as an input to the method.","The paper argues that existing context-aware trackers use adjacent frames, fixed windows, or limited tokens, which restricts long-term context. MambaLCT is motivated by using Mamba's efficient long-sequence modeling to aggregate target variation cues from the first frame to the current frame.",MambaLCT addresses long-term context construction for tracking by separating spatial/appearance modeling from temporal context modeling and using a Context Mamba module to aggregate target information across historical search frames.,Proposes MambaLCT for capturing long-term target behavior and motion. | Designs a Context Mamba module for low-resource construction of long-term temporal context. | Reports state-of-the-art performance on six tracking benchmarks.,"Hierarchical ViT/HiViT backbone, ucaEncoder for unified context and appearance modeling, Context Mamba module, cross-frame/context token `cp`, and classification/regression tracking head.","Mamba is used for temporal context construction. Historical search-frame features are scanned along the temporal dimension, target-related information is compressed into hidden states, and context information is propagated frame-to-frame through hidden-state transfer and the context token.",not reported,"Not reported as designed degradation inputs or objectives. Motion blur and low resolution appear as LaSOT attributes, not as explicit degradation handling.",not reported,"Not reported for degradation/restoration. Feature-level temporal context is modeled, but not as restoration.","Yes. Mamba's hidden states aggregate target information from historical search frames, and cross-frame tokens transmit information between frames. (evidence: pp. 2, 4, 5)",Not reported as a dynamic template-update mechanism. The method updates context information/token state rather than reporting template image replacement.,"Not reported. The extracted text describes a classification/regression tracking head, but not a response-map fusion design.","Training uses GOT-10K, LaSOT, COCO, and TrackingNet. Evaluation reports LaSOT, LaSOText, GOT-10K, TrackingNet, TNL2K, and UAV123.","AUC, normalized precision (PNorm), precision (P), average overlap (AO), success rate at thresholds SR0.5 and SR0.75, parameters, MACs, and FPS.","The authors state that computational resource constraints prevent unifying training and testing, because training samples only portions of sequences rather than modeling the entire video sequence. They identify a more coherent training strategy and sequence sampling as future work.","The method uses Mamba for long-term temporal context, not for restoration-oriented recovery of degraded template/search features; degradation-aware memory update is not reported.","pp. 1, 2, 3, 4, 5, 6, 7","Supports: It is evidence that Mamba has already been used in tracking for long-term temporal context and hidden-state aggregation. | Threatens: It prevents novelty claims based only on using Mamba for temporal context, long-term memory, or hidden-state propagation in tracking. | Remains unsolved: It does not report restoration-oriented Mamba, degradation-specific template/search recovery, restoration/enhancement objectives, or degradation-aware memory update.",medium
2025_AAAI_MCITrack,Exploring Enhanced Contextual Information for Video-Level Object Tracking,2025,"AAAI, from PDF filename `2025_AAAI_MCITrack.pdf`",Video-level visual object tracking with contextual-information transmission.,visual object tracking,"Visual object tracking using video clips/search regions. Use of non-RGB modalities, natural-language input, thermal input, event input, or restoration input is not reported for the method.","MCITrack is motivated by the limitation that prior video-level trackers often transmit contextual information through only a few tokens, which can lose information and limit context capture.",The paper addresses how to record and transmit richer contextual information across a video stream for tracking by using Mamba hidden states inside a Contextual Information Fusion module.,Introduces a hidden-state-based method for transmitting contextual information in video-level object tracking. | Develops the MCITrack model family around the Contextual Information Fusion (CIF) module. | Demonstrates state-of-the-art or competitive results across multiple tracking datasets.,"Fast-iTPN backbone, CIF module, CIF blocks, Mamba layer, in-attention layer, out-attention layer, FFN, OSTrack-style classification/regression head.","Mamba is used inside CIF blocks to store and update historical contextual information in hidden states. Cross-attention integrates the stored context into current backbone features, and hidden states are updated as the video progresses.",not reported,"Not reported. The paper mentions blurriness as a challenge for appearance-only trackers, but does not define degradation-specific training, testing, or objectives.","Not reported. A feature visualization uses the word ""enhancement"" for emphasized target edges, not image restoration/enhancement.","Not reported for degradation/restoration. Feature-level context fusion is used, but not for restoration.","Yes. Mamba hidden states in CIF blocks store, update, and transmit historical contextual information. (evidence: pp. 1, 3, 4, 5, 6)","Partial. The paper discusses dynamic templates as prior work; MCITrack uses a memory bank to store reliable frames and update the video clip during inference, but does not report a degradation-aware template update. (evidence: pp. 1, 3, 4, 5, 6)","Not reported. The paper reports classification score, box size, and offset heads, not response-map fusion.","Training uses LaSOT, GOT-10k, TrackingNet, COCO, and VastTrack. Evaluation reports LaSOT, LaSOText, TrackingNet, GOT-10k, TNL2K, NFS, UAV123, and VOT2020.","AUC, normalized precision (PNorm), precision (P), average overlap (AO), success rates SR0.5/SR0.75, EAO for VOT2020, parameters, FLOPs, and FPS.","MCITrack has slow model training due to video-level modeling, and video-clip handling introduces more computational overhead than single-frame images. The authors propose accelerating training and reducing video-clip burden through efficient multi-frame integration and lightweight models.","MCITrack's memory update is confidence/score-based rather than degradation-aware, and the method does not report restoration or enhancement of degraded template/search frames.","pp. 1, 2, 3, 4, 5, 6, 7","Supports: It shows Mamba hidden states are already used in tracking to carry video-level context and memory across frames. | Threatens: It makes ""Mamba hidden states for tracking context/memory"" non-novel by itself. | Remains unsolved: It does not report restoration-oriented Mamba, image degradation handling, degradation-aware memory update, or feature recovery for degraded RGB template-search tracking.",high
2025_AAAI_MM_Tracker,MM-Tracker: Motion Mamba for UAV-platform Multiple Object Tracking,2025,AAAI 2025,UAV-platform multi-object tracking (MOT),multi-object tracking,"RGB UAV video with detector features, motion maps, and MOT association; not RGB single-object template-search tracking","The paper targets UAV-MOT, where local object motion and global camera motion make motion modeling difficult, and motion blur makes large moving objects harder to detect.",The paper addresses fast global motion modeling and motion-blur-focused detector training for UAV-MOT.,"A Motion Mamba module that combines local correlation and global bi-directional Mamba scanning for motion modeling. | Motion Margin Loss (MMLoss) to improve detection of motion-blurred, large-motion objects. | A UAV-MOT tracker that reports state-of-the-art results on VisDrone and UAVDT.","Detector backbone, detector head, Motion Mamba Module, local correlation, vertical and horizontal SSM scans, motion-map fusion, Motion Margin Loss, motion estimation, and spatial matching (p. 3, p. 4).","Mamba is used for feature-level motion modeling, not restoration. The Motion Mamba block uses SSM hidden states over scanned features and combines vertical and horizontal scanned feature maps for global interaction (p. 4).","Partial (evidence: pp. 1, 3, 4, 5, 6)",Motion blur due to camera/object motion; occlusion appears in qualitative comparison but is not the central degradation mechanism.,not reported,Feature/detection-loss level; the method improves detector supervision and motion-map estimation rather than restoring degraded images.,"Partial; SSM hidden states appear inside the Motion Mamba feature scan, but the paper's core motion input is bi-temporal detector features rather than long-term template-search memory (p. 3, p. 4).",not reported,"Not reported for template-search response maps; the method predicts motion maps and uses spatial matching (p. 3, p. 4).",VisDrone and UAVDT.,MOTA and IDF1 are the main metrics; FPS/time is also reported in comparisons and ablations.,not reported,"The paper handles motion blur through detector loss and motion modeling, not through restoration-oriented Mamba blocks; it is also UAV MOT rather than RGB SOT template-search tracking.","pp. 1, 2, 3, 4, 5, 6, 7","Supports: It is important evidence because it shows an explicit Mamba-tracking paper that discusses motion blur, but its solution is motion modeling plus detection-loss reweighting, not restoration-oriented Mamba for RGB template-search features. | Threatens: It threatens any broad claim that Mamba trackers ignore blur, because MM-Tracker explicitly targets motion blur and improves blurred-object detection (p. 1, p. 4, p. 6). | Remains unsolved: Generic degradation robustness, restoration/enhancement, and template-search target feature recovery remain not reported; blur handling is detector/motion-level rather than restoration-level.",medium
2025_AAAI_TemTrack,Robust Tracking via Mamba-based Context-aware Token Learning,2025,"AAAI, from PDF filename `2025_AAAI_TemTrack.pdf`",Visual object tracking with temporal context learned from track tokens.,visual object tracking,"RGB-style visual template-search tracking from image pairs/video frames. Use of thermal, event, language, or restoration modalities is not reported.",TemTrack is motivated by the cost of trackers that combine temporal and appearance information by inputting more images or features. It proposes learning temporal relations from compact track tokens instead of additional images to reduce computational and learning burden.,TemTrack addresses how to integrate temporal information efficiently without feeding multiple large image templates/features into the tracker.,Proposes a simple context-aware tracker that separates temporal information learning from appearance modeling. | Develops a Mamba-based Temporal Module that combines Mamba sequence modeling and attention-based global perception. | Reports detailed experiments showing effectiveness on multiple tracking benchmarks.,"Fast-iTPN backbone, per-frame track token, Mamba Cross Temporal Module, cross-attention layer, guidance mechanism from track token to search features, center-based classification/regression head.","Mamba is used in the Temporal Module to model historical track-token sequences within a sliding window. The track token prediction depends on previous hidden state space and the current track token; after Mamba and cross-attention, the track token gathers historical appearance changes and motion trends.",not reported,"Not reported as explicit degradation handling. Motion blur and low resolution appear as LaSOT/TrackingNet challenge attributes, not as degradation-specific training or method design.",not reported,"Not reported for degradation/restoration. Search-feature adjustment is guided by temporal tokens, not restoration.","Yes. Temporal context is represented by historical track tokens in a sliding window, and Mamba uses hidden-state/autoregressive sequence modeling over those tokens. (evidence: pp. 2, 3, 4)",Not reported. The paper explicitly positions TemTrack as avoiding image-selection/update strategies and learning temporal context from tokens.,"Not reported. The method reports a center-based head with classification and regression branches, not response-map fusion.","Training uses COCO, LaSOT, TrackingNet, and GOT-10k. Evaluation reports LaSOT, LaSOText, GOT-10k, TrackingNet, UAV123, and TNL2K.","AUC, normalized precision (PNorm), precision (P), average overlap (AO), success rate SR0.5/SR0.75, parameters, FLOPs, FPS, and success plots for challenge attributes.",Not reported in the extracted text.,"TemTrack uses Mamba for temporal token/context modeling, not for restoration-oriented recovery or degradation-robust feature reconstruction; memory/update is not degradation-aware.","pp. 1, 2, 3, 4, 5, 6, 7","Supports: It shows Mamba is already used in tracking for temporal context through compact track tokens and sliding-window token interaction. | Threatens: It makes ""Mamba for temporal information/track-token context in tracking"" non-novel by itself. | Remains unsolved: It does not report restoration-oriented Mamba blocks, explicit image-degradation handling, restoration/enhancement, or degradation-aware RGB template-search matching.",medium
2025_ACM_MultiStateTracker,Multi-State Tracker: Enhancing Efficient Object Tracking via Multi-State Specialization and Interaction,2025,ACM MM,Efficient single-object visual tracking,single-object tracking,RGB visual tracking,"The paper targets the reduced feature-representation capacity of efficient trackers, which can limit their ability to capture target states in complex scenarios.","The paper addresses efficient tracking robustness by generating multiple target feature states, enhancing each state, and aggregating them interactively.","It introduces a Multi-State Tracker that uses multiple state representations for efficient tracking. | It proposes MSG, SSE, and CSI, with SSE and CSI built on HSA-SSD for lightweight state-space modeling. | It reports state-of-the-art performance among efficient trackers on multiple benchmarks while maintaining high speed.","MSG, SSE, CSI, HSA-SSD, center-style tracking head.",HSA-SSD is described as enhancing Mamba's selective state-space model for efficient long-sequence modeling inside SSE and CSI.,"Partial (evidence: pp. 1, 2, 7)",Motion blur and challenging attributes such as low resolution and illumination variation are evaluated; states are not degradation states.,"Partial (evidence: pp. 1, 2, 7)",Feature-level state-specific enhancement; no image-level restoration or enhancement is reported.,not reported,not reported,Classification response map is multiplied by a Hanning window during inference; the highest candidate region is used for tracking.,"LaSOT, TrackingNet, GOT-10K, COCO2017 for training; GOT-10k, TrackingNet, LaSOT, TNL2K, UAV123, NFS, and LaSOText for evaluation.","AO, SR0.5, SR0.75, AUC, PNorm, precision, FPS.",Using too many feature layers can introduce confusion/noise and plateau performance.,"Multi-state modeling is general target feature-state modeling, not degradation-state modeling; the paper does not include RGB image restoration or degradation-aware template update.","pp. 1, 2, 3, 4, 5, 6, 7, 8","Supports: It shows Mamba/SSM-style modules used for efficient feature-state specialization and interaction, not restoration-oriented degradation recovery. | Threatens: It weakens novelty claims around Mamba for efficient RGB tracking, response maps, motion blur robustness, or multi-state feature modeling. | Remains unsolved: Generic degradation-robust RGB template-search tracking with restoration-oriented Mamba blocks and degradation-aware template/search recovery is not addressed.",medium
2025_arXiv_HyMamba,Hyperspectral Mamba for Hyperspectral Object Tracking,2025,IEEE Transactions on Image Processing manuscript header; file labelled arXiv,Hyperspectral single-object tracking,single-object tracking,Hyperspectral video plus false-color hyperspectral images,"The paper argues that hyperspectral trackers lose spectral information when they convert data to false-color images or process frames independently, and that RGB trackers deteriorate under challenging conditions.","The paper addresses hyperspectral object tracking by modeling spectral, cross-depth, and temporal information with Mamba-based state-space modules.","It proposes HyMamba, a hyperspectral tracking framework that models spectral, cross-depth, and temporal information. | It introduces Spectral State Integration (SSI) to learn semantic information directly from unconverted hyperspectral images and maintain spectral hidden states across depths and frames. | It proposes Hyperspectral Mamba (HSM), modifying Mamba with forward, backward, and spectral scanning for hyperspectral tracking.","ASD, dual-branch patch embedding, SSI, Mamba Module, Joint Augment, Spectral Augment, HSM, tracking head, dynamic template update.","Mamba is used for spectral hidden-state modeling in SSI and extended by HSM to scan forward, backward, and spectral directions.","Partial (evidence: pp. 1, 5, 7)","Challenging tracking attributes include illumination variation, low resolution, and motion blur, but the method is not framed as general image degradation restoration.","Partial (evidence: pp. 1, 5, 7)",Feature-level spectral/spatial/temporal enhancement; no image-level restoration or RGB enhancement is reported.,"Yes; spectral hidden states are propagated across frames when the classification score exceeds a confidence threshold. (evidence: pp. 3, 4, 7)","Yes; the dynamic template is updated based on a fixed temporal interval and a confidence threshold. (evidence: pp. 3, 4, 7)",The tracking head uses a classification score map and regression branch; no response-map fusion module is reported.,"HOTC2020, VIS2023, NIR2023, RedNIR2023, VIS2024, NIR2024, and RedNIR2024.",AUC and DP@20; attribute-based HOTC2020 comparisons are also reported.,Not reported for HyMamba.,"HyMamba depends on hyperspectral data and addresses spectral modeling, so it does not solve RGB-only degradation-robust template-search tracking or restoration-oriented RGB recovery.","pp. 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11","Supports: It shows Mamba used for temporal hidden states, dynamic templates, and non-RGB spectral feature enhancement, which helps separate sensor-rich robustness from RGB restoration. | Threatens: It weakens any novelty claim around Mamba-based dynamic templates or temporal hidden-state tracking, especially outside RGB. | Remains unsolved: Restoration-oriented Mamba for RGB template-search tracking under generic image-quality degradation remains outside scope because HyMamba is hyperspectral and feature-level.",medium
2025_CVPR_All_Day_MCMT,All-Day Multi-Camera Multi-Target Tracking,2025,CVPR,Multi-camera multi-target tracking,multi-camera multi-target tracking,"RGBT, using visible RGB and infrared/thermal video","The paper targets MCMT tracking in low-light/nighttime conditions, where daytime-focused MCMT methods lack detailed visible appearance features.",The paper addresses all-day MCMT by building an RGBT MCMT dataset and using infrared information with Mamba-based adaptive modality fusion.,"It constructs M3Track, an RGBT multi-camera multi-target tracking dataset captured at different times of day. | It proposes ADMCMT, an all-day MCMT network for modality fusion, detection, and tracking. | It proposes All-Day Mamba Fusion (ADMF) with lighting guidance and Nearby Target Collection for tracking.","All-Day Mamba Fusion, Lighting Guidance Model, visible and infrared fusion channels, CenterNet detector, Nearby Target Collection, transformer-based tracking model.",Mamba is used inside ADMF to guide visible/infrared feature fusion with lighting-relevant information.,"Partial (evidence: pp. 1, 2, 3, 5)",Low-light/nighttime illumination in all-day MCMT.,No,Feature-level multimodal fusion using RGB and infrared; no RGB image restoration module is reported.,not reported,not reported,Not reported as a template-search response map; detection and association are used instead.,"M3Track, an aligned RGB and infrared MCMT dataset collected at noon, afternoon, and night under diverse scenes and weather.","MOTA, HOTA, IDF1, DetA, MOTP, MDA, CVIDF1, CVMA.",Not reported for the proposed method.,"Robustness comes from adding infrared/thermal sensing and RGBT fusion, so the paper does not solve RGB-only template-search degradation robustness.","pp. 1, 2, 3, 4, 5, 6, 7, 8","Supports: It shows a Mamba tracker/fusion system addressing low light through an extra sensor modality rather than RGB restoration. | Threatens: It limits any novelty claim around Mamba for low-light/all-day tracking, especially in multimodal MCMT. | Remains unsolved: RGB-only template-search restoration under generic degradation remains outside the paper, because ADMCMT is RGBT, MCMT, and fusion-based.",medium
