setup,config,benchmark_scope,rows_or_pairs,average_auc_change_vs_baseline,conclusion,decision,source
local RG-SSB-only smoke test,vitb_256_mae_ce_32x4_ep300_rgssb_train_lasot_degraded_debug,partial local OTB/debug rows,5,-0.004832,RG-SSB-only training was insufficient in partial local evidence.,do not use RG-SSB-only as current setup,experiments/baseline_results.csv
RG-SSB + head 1000 local,vitb_256_mae_ce_32x4_ep300_rgssb_head_train_lasot_degraded_1000_debug,Car1/David2/Coke x 4 local,12,+0.020811,RG-SSB + head was viable and positive locally.,"continue with RG-SSB + head, scale/tune objective",experiments/baseline_results.csv
RG-SSB + head 3000 local,vitb_256_mae_ce_32x4_ep300_rgssb_head_train_lasot_degraded_3000_debug,Car1/David2/Coke x 4 local,12,+0.010857,Fully degraded 3000 local setup was positive but not best.,use as baseline for objective refinements,experiments/baseline_results.csv
balanced 3000 local,vitb_256_mae_ce_32x4_ep300_rgssb_head_train_lasot_balanced_3000_debug,Car1/David2/Coke x 4 local,12,+0.002874,Balanced clean/degraded training did not beat fully degraded 3000.,do not prioritize balanced training,experiments/baseline_results.csv
global feature consistency lambda 0.05,vitb_256_mae_ce_32x4_ep300_rgssb_head_train_lasot_degraded_3000_featcons_debug,Car1/David2/Coke x 4 local,12,+0.004981,Original global feature consistency helped only modestly.,superseded by lambda 0.02,experiments/baseline_results.csv
global feature consistency lambda 0.02,vitb_256_mae_ce_32x4_ep300_rgssb_head_train_lasot_degraded_3000_featcons_lam002_debug,Car1/David2/Coke x 4 local,12,+0.023480,Best local feature-consistency lambda.,keep as current objective,experiments/baseline_results.csv
global feature consistency lambda 0.10,vitb_256_mae_ce_32x4_ep300_rgssb_head_train_lasot_degraded_3000_featcons_lam010_debug,Car1/David2/Coke x 4 local,12,+0.012359,Lambda 0.10 was positive but below lambda 0.02 overall.,do not use as current setup,experiments/baseline_results.csv
response consistency,vitb_256_mae_ce_32x4_ep300_rgssb_head_train_lasot_degraded_3000_featcons_lam002_respcons_debug,Car1/David2/Coke x 4 local,12,+0.004119,Response consistency hurt overall relative to feature-only lambda 0.02.,drop response consistency,experiments/baseline_results.csv
target-region feature consistency,vitb_256_mae_ce_32x4_ep300_rgssb_head_train_lasot_degraded_3000_target_featcons_lam002_debug,Car1/David2/Coke x 4 local,12,-0.000075,Target-region consistency hurt relative to global lambda 0.02.,do not replace global consistency,experiments/baseline_results.csv
HPC lambda 0.02 broader OTB,vitb_256_mae_ce_32x4_ep300_rgssb_head_train_lasot_degraded_hpc_featcons_lam002,13 OTB sequences x 4 conditions,52,+0.033144,Broader OTB result is clearly positive.,keep current HPC setup as best evidence,experiments/rgssb_hpc_broader_otb_comparison.csv
HPC lambda 0.02 selected UAV123,vitb_256_mae_ce_32x4_ep300_rgssb_head_train_lasot_degraded_hpc_featcons_lam002,8 UAV123 sequences x 4 conditions,32,-0.005511,Selected UAV123 was mixed/slightly negative.,do not claim stable UAV transfer from selected subset,experiments/rgssb_hpc_uav123_comparison.csv
HPC lambda 0.02 selected NFS,vitb_256_mae_ce_32x4_ep300_rgssb_head_train_lasot_degraded_hpc_featcons_lam002,8 NFS sequences x 4 conditions,32,-0.002660,Selected NFS was mixed/slightly negative.,inspect/expand before claims,experiments/rgssb_hpc_nfs_comparison.csv
HPC lambda 0.02 expanded UAV123/NFS,vitb_256_mae_ce_32x4_ep300_rgssb_head_train_lasot_degraded_hpc_featcons_lam002,expanded UAV123+NFS failure-focused subsets,128,+0.001605,"Expanded UAV123 was positive, expanded NFS was negative, combined near neutral.",keep setup but require broader evidence,experiments/rgssb_hpc_failure_focused_uav_nfs_comparison.csv
