claim_id,claim_text,claim_type,benchmark,metric,value,comparison,evidence_file,evidence_scope,caveat,status
C01,"The current best setup is OSTrack with RG-SSB and box_head trainable, frozen backbone, global clean/degraded feature consistency at lambda 0.02, response consistency disabled, and target-region consistency disabled.",method,all,configuration,"vitb_256_mae_ce_32x4_ep300_rgssb_head_train_lasot_degraded_hpc_featcons_lam002",current method vs baseline,implementation/rgssb_current_method_evidence_summary.md,method/config provenance,"Requires external OSTrack patch/config to reproduce.",safe
C02,"The current method improves average AUC on the broader 13-sequence OTB subset.",result,OTB,average AUC change,+0.033144,RG-SSB minus OSTrack baseline,experiments/rgssb_hpc_broader_otb_comparison.csv,13 sequences x 4 conditions = 52 pairs,"Subset evidence, not full OTB or state-of-the-art.",safe
C03,"The current method improves average AUC on the expanded 16-sequence UAV123 subset.",result,UAV123,average AUC change,+0.017405,RG-SSB minus OSTrack baseline,experiments/paper_level_benchmark_summary.csv,16 sequences x 4 conditions = 64 pairs,"Subset evidence with one degradation seed and medium severity.",safe
C04,"The current method is slightly negative on corrected expanded 32-sequence NFS.",result,NFS,average AUC change,-0.009638,RG-SSB minus OSTrack baseline,experiments/rgssb_hpc_nfs_expanded32_comparison.csv,32 sequences x 4 conditions = 128 pairs,"NFS remains mixed/slightly negative after normalized aligned XYWH correction.",safe
C05,"The corrected cross-benchmark failure-inspection aggregate is near-neutral positive.",result,cross-benchmark,average AUC change,+0.001478,RG-SSB minus OSTrack baseline,experiments/rgssb_hpc_cross_benchmark_failure_inspection.csv,212 OTB/UAV123/NFS failure-inspection pairs,"This is not the same scope as the 244-pair paper-level table.",safe
C06,"The broader paper-level table across OTB, expanded UAV123, and corrected expanded NFS is positive on average.",result,cross-benchmark,average AUC change,+0.006572,RG-SSB minus OSTrack baseline,experiments/paper_level_result_table_current.csv,244 pairs,"Average is small and includes a negative NFS component.",qualified
C07,"Corrected NFS cheetah low-resolution AUC is near-neutral rather than the old large drop.",provenance,NFS,success AUC,"baseline 0.519832; RG-SSB 0.516986",RG-SSB minus OSTrack baseline,experiments/rgssb_hpc_nfs_expanded32_comparison.csv,nfs_cheetah low_resolution medium seed 42,"The old invalid NFS XYXY-as-XYWH metrics are superseded.",safe
C08,"Historical invalid NFS rows were archived before correction.",provenance,NFS,row count,256,invalid rows archived,experiments/invalid_nfs_rows_before_xyxy_fix.csv,128 baseline + 128 RG-SSB rows,"Archive is provenance only and must not be used for current metrics.",safe
C09,"Corrected NFS drift analysis identifies persistent RG-SSB-specific target loss as the largest terminal-failure category.",failure_analysis,NFS,terminal outcome count,5,10 corrected failure cases,experiments/nfs_corrected_drift_onset_analysis.csv,top corrected NFS drops,"Qualitative/per-frame failure subset, not benchmark-wide frequency.",qualified
C10,"Corrected NFS drift analysis includes sudden center jump failures.",failure_analysis,NFS,terminal outcome count,3,10 corrected failure cases,experiments/nfs_corrected_drift_onset_analysis.csv,top corrected NFS drops,"Qualitative/per-frame failure subset.",qualified
C11,"Response consistency is not retained in the current best method.",ablation,OTB subset,average AUC comparison,not retained,feature consistency lambda 0.02 vs response consistency,implementation/rgssb_featcons_lam002_vs_respcons_result_analysis.md,local proof-of-concept subset,"Local small-scale evidence only.",qualified
C12,"Target-region feature consistency is not retained in the current best method.",ablation,OTB subset,average AUC comparison,not retained,target-region vs global feature consistency,implementation/rgssb_target_vs_global_featcons_result_analysis.md,local proof-of-concept subset,"Local small-scale evidence only.",qualified
C13,"The current evidence supports state-of-the-art robustness claims.",paper_claim,all,state-of-the-art,,against all trackers and benchmarks,,not evaluated,"No SOTA comparison table or full benchmark coverage.",unsupported
C14,"The current evidence proves universal degradation robustness.",paper_claim,all,universal robustness,,all degradations/seeds/severities,,not evaluated,"Only selected synthetic degradations at medium severity and one seed.",unsupported
C15,"The old invalid NFS qualitative overlays and metrics remain usable.",provenance,NFS,validity,superseded,old XYXY-as-XYWH NFS outputs,experiments/invalid_nfs_rows_before_xyxy_fix.csv,historical invalid rows,"They are explicitly superseded and must not support claims.",superseded
