key,title,final_publication_status,verified_venue,verified_year,volume_issue_pages_or_article,doi,title_changed_from_preprint,author_list_changed,bibtex_action,remaining_uncertainty,authoritative_evidence
liu2024vmamba,"VMamba: Visual State Space Model","peer-reviewed conference; spotlight","Advances in Neural Information Processing Systems","2024","not reported","not reported","No","No","Upgraded from @misc arXiv record to @inproceedings with NeurIPS venue and spotlight note","Proceedings pages/volume/article number and DOI not verified","arXiv:2401.10166 metadata reports NeurIPS 2024 spotlight"
li2024mambalct,"MambaLCT: Boosting Tracking via Long-term Context State Space Model","arXiv preprint","arXiv","2024","not applicable","10.48550/arXiv.2412.13615","No final title change verified","No final author change verified","Retained arXiv record; added preprint note","No final venue/DOI/pages verified","arXiv:2412.13615 metadata"
huang2024mambafetrack,"Mamba-FETrack: Frame-Event Tracking via State Space Model","arXiv preprint; arXiv comment says in peer review","arXiv","2024","not applicable","10.48550/arXiv.2404.18174","No final title change verified","No final author change verified","Retained arXiv record; added preprint note","Mamba-FETrack V2 arXiv comment mentions PRCV 2024 predecessor, but no official final record was verified","arXiv:2404.18174 metadata"
wang2024mambaevt,"MambaEVT: Event Stream based Visual Object Tracking using State Space Model","arXiv preprint; arXiv comment says in peer review","arXiv","2024","not applicable","10.48550/arXiv.2408.10487","No final title change verified","No final author change verified","Retained arXiv record; title aligned to arXiv; added preprint note","No final venue/DOI/pages verified","arXiv:2408.10487 metadata"
wu2024mambanut,"MambaNUT: Nighttime UAV Tracking via Mamba-based Adaptive Curriculum Learning","arXiv preprint","arXiv","2024","not applicable","10.48550/arXiv.2412.00626","Current arXiv title uses Mamba-based casing","No final author change verified","Retained arXiv record; title aligned to arXiv; added preprint note","No authoritative IROS/final venue verified","arXiv:2412.00626 metadata"
zhong2024llot,"Low-Light Object Tracking: A Benchmark","arXiv preprint","arXiv","2024","not applicable","10.48550/arXiv.2408.11463","No final title change verified","No final author change verified","Retained arXiv record; added preprint note","No final venue/DOI/pages verified","arXiv:2408.11463 metadata"
zheng2024odtrack,"ODTrack: Online Dense Temporal Token Learning for Visual Tracking","arXiv preprint","arXiv","2024","not applicable","10.48550/arXiv.2401.01686","No final title change verified","No final author change verified","Retained arXiv record; added preprint note","No final venue/DOI/pages verified","arXiv:2401.01686 metadata"
xie2024aqatrack,"Autoregressive Queries for Adaptive Tracking with Spatio-TemporalTransformers","arXiv preprint","arXiv","2024","not applicable","10.48550/arXiv.2403.10574","Current arXiv title has Spatio-TemporalTransformers spelling","No final author change verified","Retained arXiv record; title aligned to arXiv; added preprint note","No final venue/DOI/pages verified","arXiv:2403.10574 metadata"
wang2025mambafetrackv2,"Mamba-FETrack V2: Revisiting State Space Model for Frame-Event based Visual Object Tracking","arXiv preprint; journal extension statement only","arXiv","2025","not applicable","10.48550/arXiv.2506.23783","Current arXiv title uses based casing","No final author change verified","Retained arXiv record; title aligned to arXiv; added preprint note","No final journal venue/DOI/pages verified","arXiv:2506.23783 metadata"
invtrack_local,"InvTrack: Efficient Deep Object Tracking Neural Network with Invariant Feature Learning","local placeholder PDF only; not submission-citable","not verified","not confirmed","not verified","not confirmed","not applicable","not applicable","Removed from references.bib and manuscript citations","No authoritative publication or arXiv metadata verified","Local PDF has placeholder dates and placeholder DOI; exact-title web search found no authoritative record"
