paper_id,title,task,modality,motion_blur,defocus_blur,low_resolution,sensor_noise,jpeg_compression,low_light,occlusion,fast_motion,mixed_degradation,real_degraded_video,synthetic_degraded_video,image_level_restoration,feature_level_restoration,degradation_invariant_learning,degradation_aware_memory_update,degradation_aware_template_update,degradation_aware_response_map_fusion,tracking_aware_restoration,target_aware_restoration,restoration_guided_template_search_matching,evidence_pages,short_explanation,notes_for_gap_analysis
2024_ACM_MambaTrack_MOT,MambaTrack: A Simple Baseline for Multiple Object Tracking with State Space Model,"Online multi-object tracking (MOT), tracking-by-detection",RGB video detections and bounding-box trajectories; the tracker uses detector outputs rather than RGB template-search matching,Partial,Not reported,Not reported,Not reported,Not reported,Not reported,Partial,Not reported,Not reported,Partial,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,"pp. 1, 2, 3, 4, 5, 6, 7, 8","Discusses occlusion and motion blur as causes of missed detections/fragmented tracklets; handles them through trajectory patching and association, not restoration.",Motion blur is handled at trajectory/MOT association level; RGB template-search restoration remains not reported.
2024_arXiv_Mamba_FETrack,Mamba-FETrack: Frame-Event Tracking via State Space Model,RGB-Event single-object visual tracking,RGB frames plus event stream converted into event images,Partial,Not reported,Not reported,Not reported,Not reported,Partial,Not reported,Partial,Not reported,Partial,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,"pp. 1, 2, 3, 6, 7, 8, 9, 10, 11, 12, 13, 15","Uses RGB-event fusion for fast motion, low illumination, motion blur, and high-dynamic-range tracking conditions.",Robustness comes from event sensing and feature fusion rather than RGB restoration.
2024_ECCV_MambaIR,MambaIR: A Simple Baseline for Image Restoration with State-Space Model,"Image restoration, including super-resolution, image denoising, real-world denoising, and JPEG compression artifact reduction.",Single-image restoration from low-quality image input to high-quality image output; not video tracking.,Not reported,Not reported,Yes,Yes,Yes,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Yes,Yes,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,"pp. 1, 3, 6, 7, 8, 9, 13, 14","Image restoration paper covering SR, Gaussian/real-world denoising, and JPEG artifact reduction; not a tracking paper.","Strong restoration evidence, but no template-search tracking or target-aware restoration evidence."
2025_AAAI_MambaLCT,MambaLCT: Boosting Tracking via Long-term Context State Space Model,Visual object tracking with long-term video context.,"Visual template-search tracking from image/video frames. Use of language, thermal, event, or restoration modalities is not reported as an input to the method.",Partial,Not reported,Partial,Not reported,Not reported,Not reported,Partial,Not reported,Not reported,Partial,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,"pp. 1, 2, 3, 4, 5, 6, 7","Reports challenge/attribute evidence for motion blur, low resolution, and occlusion, attributed to long-term context rather than degradation-specific restoration.","Temporal context helps tracking challenges, but degradation-specific restoration or memory update is not reported."
2025_AAAI_MCITrack,Exploring Enhanced Contextual Information for Video-Level Object Tracking,Video-level visual object tracking with contextual-information transmission.,"Visual object tracking using video clips/search regions. Use of non-RGB modalities, natural-language input, thermal input, event input, or restoration input is not reported for the method.",Partial,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,"pp. 1, 2, 3, 4, 5, 6, 7","Mentions blurriness as a challenge for appearance-only trackers and proposes contextual-information transmission, but no degradation-specific handling is reported.",Context/memory is present; degradation-aware restoration or update is not supported by the cards.
2025_AAAI_MM_Tracker,MM-Tracker: Motion Mamba for UAV-platform Multiple Object Tracking,UAV-platform multi-object tracking (MOT),"RGB UAV video with detector features, motion maps, and MOT association; not RGB single-object template-search tracking",Yes,Not reported,Not reported,Not reported,Not reported,Not reported,Partial,Not reported,Not reported,Partial,Not reported,Not reported,Partial,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,"pp. 1, 2, 3, 4, 5, 6, 7",Explicitly targets motion-blur-induced detection difficulty using Motion Margin Loss and motion modeling; occlusion appears in qualitative analysis.,"Blur handling is detector/motion-feature level, not image restoration or template-search recovery."
2025_AAAI_TemTrack,Robust Tracking via Mamba-based Context-aware Token Learning,Visual object tracking with temporal context learned from track tokens.,"RGB-style visual template-search tracking from image pairs/video frames. Use of thermal, event, language, or restoration modalities is not reported.",Partial,Not reported,Partial,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Partial,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,"pp. 1, 2, 3, 4, 5, 6, 7","Motion blur and low resolution appear as benchmark attributes, but the method is temporal track-token modeling rather than degradation-specific restoration.",Attribute robustness is not evidence of restoration-oriented Mamba.
2025_ACM_MultiStateTracker,Multi-State Tracker: Enhancing Efficient Object Tracking via Multi-State Specialization and Interaction,Efficient single-object visual tracking,RGB visual tracking,Partial,Not reported,Partial,Not reported,Not reported,Partial,Partial,Partial,Not reported,Partial,Not reported,Not reported,Partial,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,"pp. 1, 2, 3, 4, 5, 6, 7, 8","Evaluates/claims robustness under motion blur, low resolution, illumination variation, occlusion, and fast motion through multi-state feature enhancement.",Feature-state enhancement is not degradation-state modeling or image restoration.
2025_arXiv_HyMamba,Hyperspectral Mamba for Hyperspectral Object Tracking,Hyperspectral single-object tracking,Hyperspectral video plus false-color hyperspectral images,Partial,Not reported,Partial,Not reported,Not reported,Partial,Partial,Partial,Not reported,Partial,Not reported,Not reported,Partial,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,"pp. 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11","Hyperspectral tracker reports attributes including illumination variation, low resolution, motion blur, occlusion, and fast motion, with feature-level spectral/spatial/temporal enhancement.",Sensor-rich hyperspectral feature enhancement is distinct from RGB restoration-guided tracking.
2025_CVPR_All_Day_MCMT,All-Day Multi-Camera Multi-Target Tracking,Multi-camera multi-target tracking,"RGBT, using visible RGB and infrared/thermal video",Not reported,Not reported,Not reported,Not reported,Not reported,Yes,Not reported,Not reported,Not reported,Yes,Not reported,No,No,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,"pp. 1, 2, 3, 4, 5, 6, 7, 8","Addresses real low-light/nighttime MCMT with RGBT infrared fusion, not image restoration.","Low-light robustness is sensor-assisted via infrared, not RGB-only restoration."
